id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
51129,,34.182343,-118.851074,Colina Middle School,outside,0.18,79.0,26.11111111111111,16.0,991.8,,,,,,,,,,,,,2020-11-15 18:33:53,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.46,0.99,1.42,7.44,11.38,13.32
36111,,37.758076,-122.193103,Coliseum,outside,26.36,84.0,28.88888888888889,25.0,1027.18,,,,,,,,,,,,,2020-11-15 18:33:13,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,28.09,25.72,22.98,21.86,17.42,17.21
56055,,34.609341,-120.134748,College Canyon Outside,outside,0.93,73.0,22.77777777777778,23.0,1002.12,,,,,,,,,,,,,2020-11-15 18:33:52,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.97,1.57,2.38,4.72,6.81,10.88
35399,,39.197752,-84.543691,College Hill,outside,2.44,61.0,16.11111111111111,36.0,979.47,,,,,,,,,,,,,2020-11-15 18:33:19,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.53,3.31,4.8,13.3,17.64,14.3
82065,,44.038936,-123.094798,College Hill,outside,5.74,61.0,16.11111111111111,66.0,1005.26,,,,,,,,,,,,,2020-11-15 18:32:30,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,5.33,6.62,7.49,5.56,8.07,12.45
56199,,41.824375,-71.398514,College Hill RI,outside,5.53,55.0,12.777777777777779,48.0,1019.04,,,,,,,,,,,,,2020-11-15 18:32:52,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,5.77,6.06,7.23,10.03,9.9,12.14
36423,,41.413319,-122.387987,College of the Siskiyous,outside,0.81,45.0,7.222222222222222,63.0,899.6,,,,,,,,,,,,,2020-11-15 18:34:10,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.97,1.0,1.34,3.97,7.09,11.01
2741,,45.31029,-122.966891,College Park,outside,3.12,62.0,16.666666666666668,63.0,1012.6,,,,,,,,,,,,,2020-11-15 18:33:19,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.97,3.27,3.32,3.85,10.5,16.47
55453,,37.420349,-122.150994,College Terrace,outside,21.42,76.0,24.444444444444446,34.0,1026.44,,,,,,,,,,,,,2020-11-15 18:34:17,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,21.63,18.76,15.93,12.54,9.99,12.55
69387,,37.419169,-122.152918,College-Dartmouth outside,outside,20.75,73.0,22.77777777777778,34.0,1026.13,,,,,,,,,,,,,2020-11-15 18:33:01,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,22.2,18.58,15.25,12.3,10.16,12.55
